property,bucket,units,address,latitude,longitude
10975 West Lake Hazel Road,PROPOSED,130,10975 W Lake Hazel Rd Boise ID 83709,43.547462,-116.319214
12548 West Overland Road,PROPOSED,156,12548 W Overland Rd Boise ID 83709,43.590875,-116.33807
12565 West Fairview Avenue,PROPOSED,275,12565 W Fairview Ave Boise ID 83713,43.617971,-116.338672
Centrepoint,PROPOSED,213,3100 N Centrepoint Way Meridian ID 83646,43.633286,-116.357252
Cobalt Point,PROPOSED,264,S Cobalt Point Way & E Copper Point Dr Meridian ID 83642,43.589296,-116.349157
Cole Road,PROPOSED,61,709 N Cole Rd Boise ID 83704,43.611189,-116.274607
Delano,LEASING UP,84,3858 N Centrepoint Way Meridian ID 83646,43.639816,-116.357276
Madison Town Square,PROPOSED,251,460 N Milwaukee St Boise ID 83704,43.610115,-116.279863
Promenade Cottages I,PROPOSED,30,403 E Fairview Ave Meridian ID 83642,43.617612,-116.387033
Record,PROPOSED,472,E Fairview Ave & N Records Way Meridian ID 83642,43.616835,-116.34687
South Ridge I,STABILIZED / STABILIZING,476,1703 S Grand Frk Wy Meridian ID 83642,43.588954,-116.423325
Syringa Crossing,PROPOSED,322,Amity Ave & Meridian Rd Meridian ID 83642,43.556229,-116.387078
The 10,PROPOSED,559,75 S Ten Mile Rd Meridian ID 83642,43.603785,-116.43421
The Cole Denton,PROPOSED,136,580 N Cole Rd Boise ID 83704,43.609974,-116.274509
Villas at Twelve Oaks East,PROPOSED,64,115 S Linder Rd Meridian ID 83642,43.603612,-116.414765
