type,property,units,est_delivery,status,leasing_pace,notes,source
pipeline,Village Apartments,336,Q2 2024,,,(verify leasing up),
pipeline,Wesley Apartments and Townhomes,191,Q2 2024,,,(verify leasing up),
pipeline,Tauri Apartments,156,Q2 2026,,,(verify leasing up),
pipeline,Delano,84,Q2 2026,,,(verify leasing up),
pipeline,Shamrock Apartments,48,Q2 2025,,,(verify leasing up),
pipeline,Record,472,,,,(verify proposed),
pipeline,The Gateway at Ten Mile,390,,,,(verify proposed),
pipeline,Syringa Crossing,322,,,,(verify proposed),
pipeline,Victory Flats,301,,,,(verify proposed),
pipeline,12565 West Fairview Avenue,275,,,,(verify proposed),
pipeline,Pine 43 Multifamily (Pine & Webb),270,,,,(verify proposed),
pipeline,Heritage Square (ex-Union 93),250,Q1 2029,,,(verify proposed),
pipeline,The Cole Denton,200,Q1 2029,,,(verify proposed),
pipeline,Rolling Hill (Assemble Management),200,Q1 2029,,,(verify proposed),
pipeline,The Judy (Maple Grove & Overland),162,Q1 2028,,,(verify proposed),
pipeline,12548 West Overland Road,156,,,,(verify proposed),
pipeline,Ascent Overland,138,,,,(verify proposed),
pipeline,Meridian OZ Apartments,36,,,,(verify proposed),
pipeline,Vanguard Village,552,Q1 2028,,,(verify under construction),
pipeline,Centrepoint,213,Q1 2028,,,(verify under construction),
pipeline,Dorado Station,212,Q3 2027,,,(verify under construction),
pipeline,South Ridge II,164,Q2 2027,,,(verify under construction),
pipeline,Summertown (remaining phases),72,Q3 2027,,,(verify under construction),
shadow,<latent site / rezoning / land sale>,,,,,potential future supply not in CoStar/RealPage,
